ticker,ROSE,ANKR,VET,NEAR,ETH,EOS,BAKE,GRT,REEF,INJ,FIL,MATIC,BCH,IOST,CHR,EGLD,HBAR,ZIL,ALGO,DENT,DASH,ALICE,IOTA,LINK,XTZ,LRC,ONE,SXP,KAVA,AXS,ADA,SOL,ONT,ETC,MANA,SNX,ZEC,CFX,YFI,WAVES,LTC,CHZ,XLM,COTI,DOT,OMG,SUSHI,FTM,BNB,UNI,STX,RUNE,THETA,HOT,1INCH,FET,KSM,SLP,CRV,IOTX,BTC,AVAX,ENJ,CAKE,XRP,TRX,ATOM,AAVE,DOGE,NEO,SAND,QTUM
1/1/2021,0.0421,0.008912,0.019052,1.3587,728.91,2.6378,,0.36169,0.012224,4.0817,22.2169,0.01777,341.83,0.005787,0.0231,26.007,0.03298,0.07887,0.3978,0.0001933,87.97,,0.2912,11.8477,2.0075,0.17503,0.00423,0.712,1.3034,0.5931,0.17509,1.8421,0.4491,5.6938,0.08354,8.308,56.6,,21845.15,5.9795,126.24,0.020739,0.13207,0.04646,8.2776,2.5432,3.333,0.01719,37.7762,4.7353,0.4272,1.2874,1.96621,0.0006155,1.155,0.05333,69.693,,0.62,0.006602,29331.69,3.6497,0.13561,,0.23746,0.02685,5.861,90.711,0.00568,14.461,0.036973,2.268
1/2/2021,0.04095,0.008557,0.019993,1.4124,774.56,2.6321,,0.32751,0.011317,3.6083,21.7766,0.01904,354.55,0.005615,0.02181,25.875,0.03335,0.07219,0.4075,0.0002035,87.02,,0.2863,12.2215,1.9992,0.17546,0.00423,0.746,1.2917,0.54275,0.17742,1.7999,0.4653,5.7763,0.07915,8.192,57.46,,21477.83,5.5873,136.96,0.019256,0.12751,0.04633,9.2037,2.5422,3.203,0.01639,38.2331,4.8564,0.4573,1.2919,2.40024,0.0008032,1.025,0.05127,69.254,,0.613,0.006642,32178.33,3.4956,0.13156,,0.22064,0.02721,5.42,85.768,0.0105264,14.426,0.038107,2.249
1/3/2021,0.04129,0.00861,0.026226,1.4707,978.28,2.7985,,0.29857,0.009871,4.4294,21.4253,0.01997,423.61,0.005726,0.02207,27.321,0.03305,0.06763,0.4253,0.0002199,89.65,,0.3098,13.6814,2.1345,0.275,0.00488,0.772,1.3835,0.56523,0.20615,2.1779,0.503,6.5678,0.08113,9.539,59.35,,23879.16,5.5581,161.24,0.019518,0.13653,0.05091,10.1307,3.0498,3.445,0.01871,41.2575,5.5155,0.4818,1.4839,2.12597,0.0007508,1.108,0.05671,72.983,,0.677,0.006736,33000.05,3.4691,0.135,,0.2254,0.02949,5.829,93.778,0.0098209,16.024,0.040928,2.466
1/4/2021,0.04135,0.008397,0.024598,1.3868,1041.43,2.8191,,0.30888,0.010121,4.35,21.4059,0.02468,405.49,0.005796,0.02277,30.658,0.03245,0.06998,0.4463,0.000219,89.01,,0.3433,13.5935,2.3284,0.36324,0.00494,0.731,1.516,0.56082,0.22528,2.4909,0.4945,7.0374,0.07892,11.492,60.34,,23387.84,5.3943,155.34,0.018871,0.16404,0.04902,9.5126,3.2938,3.563,0.02047,41.1333,5.4238,0.491,1.5929,1.96868,0.0007322,1.0317,0.05723,68.505,,0.676,0.006516,31988.71,3.5999,0.14105,,0.23565,0.03095,6.044,114.271,0.0097613,16.372,0.040432,2.515
1/5/2021,0.04394,0.008499,0.027964,1.4953,1099.56,2.8862,,0.33823,0.010981,4.57,21.6019,0.0244,418.09,0.005739,0.02296,33.969,0.03754,0.07023,0.4794,0.000214,89.11,,0.352,14.5162,2.377,0.49098,0.00501,0.758,1.5684,0.55605,0.25873,2.1636,0.509,7.271,0.0823,12.381,59.64,,23731.87,5.5768,158.43,0.020074,0.19291,0.04802,9.7084,3.5141,3.853,0.02063,41.8219,6.2518,0.5214,1.5826,2.13193,0.0007393,1.2501,0.06182,67.797,,0.688,0.00686,33949.53,4.2501,0.14654,,0.22573,0.02852,6.196,119.689,0.00997,16.868,0.0417,2.612
1/6/2021,0.04743,0.009151,0.030819,1.5413,1208.42,3.3711,,0.36991,0.010334,4.5886,21.9407,0.03555,453.44,0.006113,0.02604,38.5,0.03834,0.07772,0.5111,0.0002327,94.22,,0.3819,17.2322,2.6476,0.40901,0.00556,0.826,1.8106,0.60086,0.33309,1.9414,0.5808,7.5723,0.09225,12.129,63.92,,24742.87,5.84,168.92,0.021122,0.33938,0.05076,10.0679,3.7082,3.882,0.02442,42.2417,6.4157,0.5241,1.5916,2.16676,0.000765,1.51,0.07311,75.325,,0.731,0.007374,36769.36,4.5788,0.16005,,0.24854,0.03046,6.682,115.191,0.01042,19.535,0.044655,3.013
1/7/2021,0.05095,0.009129,0.028673,1.4972,1224.87,3.1943,,0.34633,0.009998,4.6597,22.0598,0.03297,448,0.006353,0.02427,36.985,0.03824,0.07581,0.4611,0.000244,98.96,,0.3831,15.9628,2.5294,0.36919,0.00625,0.872,1.6864,0.60403,0.29928,2.3635,0.5591,7.2142,0.12914,11.579,67.75,,33057.95,5.9377,169.35,0.019877,0.31124,0.05515,9.6439,3.508,3.951,0.02383,43.5728,6.2545,0.5426,1.4612,1.98791,0.0007992,1.2925,0.07112,68.947,,0.716,0.007309,39432.28,4.4707,0.16388,,0.32389,0.03095,6.264,114.823,0.0097439,20.889,0.043391,2.894
1/8/2021,0.04536,0.008789,0.027299,1.7376,1216.93,3.1094,,0.32903,0.009481,4.6571,21.5989,0.03159,436.98,0.008581,0.02507,37.36,0.06091,0.07337,0.455,0.0002693,96.2,,0.3693,15.2381,2.4547,0.34912,0.00665,0.984,1.6162,0.59363,0.30389,3.2214,0.5563,6.9565,0.12623,11.804,68.59,,34908.59,5.6108,172.19,0.019261,0.297,0.05818,9.2998,3.4039,4.291,0.02599,42.356,5.8807,0.4941,1.346,1.99427,0.0008147,1.1867,0.07104,68.787,,0.694,0.007151,40582.81,5.7,0.21488,,0.32032,0.0304,5.931,110.481,0.00974,19.724,0.043303,2.861
1/9/2021,0.04704,0.009523,0.028812,1.7586,1276,3.6145,,0.34849,0.009838,4.742,22.0071,0.03346,574.88,0.011344,0.02947,36.87,0.05074,0.07587,0.4847,0.0003115,109.94,,0.432,17.5501,2.6357,0.3842,0.00748,1.041,1.8591,0.60144,0.33062,3.3829,0.634,7.763,0.11523,13.1,78.44,,35735.6,6.1818,177.26,0.020113,0.31054,0.06052,9.7354,3.7078,4.666,0.02706,43.8479,6.22,0.4983,1.5674,2.04103,0.0010065,1.2431,0.07261,68.93,,0.767,0.007906,40088.22,7.1877,0.20456,,0.32419,0.03382,6.54,117.479,0.0101789,21.338,0.045938,3.228
1/10/2021,0.04476,0.00923,0.02707,1.7421,1254.25,3.0552,,0.32627,0.009856,4.4075,23.4251,0.03024,599.98,0.010123,0.02695,36.229,0.04941,0.07285,0.4578,0.0003138,146.54,,0.427,16.206,2.7621,0.35119,0.00682,1.012,1.8239,0.57292,0.30153,3.449,0.6536,8.8346,0.10655,14.116,96.37,,33982.73,6.5273,170.07,0.019286,0.2845,0.05857,9.2911,3.6526,4.391,0.02518,42.4031,5.9802,0.4735,1.4594,1.98621,0.0009735,1.2058,0.0699,71.07,,0.754,0.007531,38150.02,6.5416,0.18527,,0.31491,0.03275,6.409,127.007,0.00982,24.921,0.04238,3.383
