date,market
8/2/2017,207.15
8/3/2017,209.48
8/4/2017,204.59
8/7/2017,234.29
8/8/2017,250.77
8/9/2017,242.61
8/10/2017,242.52
8/11/2017,251.49
8/14/2017,258.59
8/15/2017,247.6
8/16/2017,259.29
8/17/2017,264.47
8/18/2017,267.56
8/21/2017,283.99
8/22/2017,300.52
8/23/2017,307.54
8/24/2017,298.83
8/25/2017,303.83
8/28/2017,313.99
8/29/2017,322.11
8/30/2017,329.62
8/31/2017,345.49
9/1/2017,353.86
9/5/2017,303.55
9/6/2017,322.13
9/7/2017,321.43
9/8/2017,295.87
9/11/2017,289.58
9/12/2017,286.39
9/13/2017,268.97
9/14/2017,224.73
9/15/2017,249.76
9/18/2017,271.95
9/19/2017,264.87
9/20/2017,264
9/21/2017,241.36
9/22/2017,242.09
9/25/2017,265.51
9/26/2017,264.89
9/27/2017,284.4
9/28/2017,280.17
9/29/2017,274.03
10/2/2017,279.1
10/3/2017,274.01
10/4/2017,272.48
10/5/2017,284.51
10/6/2017,286.64
10/9/2017,293.25
10/10/2017,298.34
10/11/2017,300.39
10/12/2017,307.92
10/13/2017,327.29
10/16/2017,327.98
10/17/2017,312.08
10/18/2017,306.41
10/19/2017,307.12
10/20/2017,309.09
10/23/2017,295.34
10/24/2017,297.8
10/25/2017,298.62
10/26/2017,302.15
10/27/2017,301.46
10/30/2017,317.04
10/31/2017,319.98
11/1/2017,322.18
11/2/2017,333.6
11/3/2017,350.52
11/6/2017,342.23
11/7/2017,343.81
11/8/2017,359.49
11/9/2017,364.87
11/10/2017,361.4
11/13/2017,390.59
11/14/2017,397.91
11/15/2017,404.94
11/16/2017,404.51
11/17/2017,417.76
11/20/2017,452.21
11/21/2017,440.13
11/22/2017,461.54
11/24/2017,510.6
11/27/2017,545
11/28/2017,556.13
11/29/2017,518.58
11/30/2017,517.28
12/1/2017,563.26
12/4/2017,582.42
12/5/2017,575.02
12/6/2017,575.58
12/7/2017,607.04
12/8/2017,636.32
12/11/2017,705.74
12/12/2017,823.85
12/13/2017,868.6
12/14/2017,1014.44
12/15/2017,988.4
12/18/2017,1089.02
12/19/2017,1085.31
12/20/2017,1128.84
12/21/2017,1193.71
12/22/2017,1049.97
12/26/2017,1156.01
12/27/2017,1179.91
12/28/2017,1140.48
12/29/2017,1381.41
1/2/2018,1503.59
1/3/2018,1653.48
1/4/2018,1638.93
1/5/2018,1650.2
1/8/2018,1667.36
1/9/2018,1636.62
1/10/2018,1651.62
1/11/2018,1518.63
1/12/2018,1619.33
1/16/2018,1157.04
1/17/2018,1237.49
1/18/2018,1290.4
1/19/2018,1284.96
1/22/2018,1173.34
1/23/2018,1204.22
1/24/2018,1246.39
1/25/2018,1238.77
1/26/2018,1200.41
1/29/2018,1279.84
1/30/2018,1145.68
1/31/2018,1163.59
2/1/2018,1047.52
2/2/2018,960.39
2/5/2018,773.93
2/6/2018,848.42
2/7/2018,871.08
2/8/2018,896.64
2/9/2018,962.57
2/12/2018,1002.62
2/13/2018,969.17
2/14/2018,1070.57
2/15/2018,1090.51
2/16/2018,1123.08
2/20/2018,1161.61
2/21/2018,1032.13
2/22/2018,989.34
2/23/2018,1010.03
2/26/2018,1045.88
2/27/2018,1067.58
2/28/2018,1038.86
3/1/2018,1065.66
3/2/2018,1057.04
3/5/2018,1086.74
3/6/2018,1030.88
3/7/2018,944.99
3/8/2018,887.89
3/9/2018,872.34
3/12/2018,865.01
3/13/2018,858.6
3/14/2018,780.99
3/15/2018,769.58
3/16/2018,791.4
3/19/2018,753.23
3/20/2018,793.21
3/21/2018,786.9
3/22/2018,754.16
3/23/2018,751.7
3/26/2018,680.69
3/27/2018,677.94
3/28/2018,665.01
3/29/2018,586.79
4/2/2018,570.13
4/3/2018,619.2
4/4/2018,568.75
4/5/2018,566.24
4/6/2018,547.22
4/9/2018,562.16
4/10/2018,580.72
4/11/2018,597.29
4/12/2018,671.76
4/13/2018,701.74
4/16/2018,707.99
4/17/2018,710.35
4/18/2018,754.16
4/19/2018,784.55
4/20/2018,867.39
4/23/2018,914.74
4/24/2018,990.65
4/25/2018,906.56
4/26/2018,925.08
4/27/2018,916.04
4/30/2018,944.07
5/1/2018,912.64
5/2/2018,955.45
5/3/2018,1000
5/4/2018,1020.73
5/7/2018,986.53
5/8/2018,976.02
5/9/2018,984.69
5/10/2018,1000.47
5/11/2018,888.79
5/14/2018,920.75
5/15/2018,903.53
5/16/2018,865.05
5/17/2018,876.67
5/18/2018,834.39
5/21/2018,869.13
5/22/2018,847.5
5/23/2018,782.78
5/24/2018,755.8
5/25/2018,756.31
5/29/2018,725.37
5/30/2018,722.37
5/31/2018,751.39
6/1/2018,740.36
6/4/2018,772.44
6/5/2018,793.99
6/6/2018,778.92
6/7/2018,796.71
6/8/2018,787.2
6/11/2018,676.85
6/12/2018,643.16
6/13/2018,613.43
6/14/2018,668.33
6/15/2018,647.74
6/18/2018,662.57
6/19/2018,674.21
6/20/2018,669.29
6/21/2018,662.4
6/22/2018,601.06
6/25/2018,590.86
6/26/2018,572.42
6/27/2018,571.18
6/28/2018,564.09
6/29/2018,537.61
7/2/2018,619.99
7/3/2018,616.33
7/5/2018,599.9
7/6/2018,604.95
7/9/2018,610.96
7/10/2018,571.26
7/11/2018,566.45
7/12/2018,553.62
7/13/2018,554.88
7/16/2018,615.29
7/17/2018,658.09
7/18/2018,643.38
7/19/2018,638.85
7/20/2018,609.14
7/23/2018,627.21
7/24/2018,661.96
7/25/2018,659.34
7/26/2018,664.92
7/27/2018,656.41
7/30/2018,638.12
7/31/2018,611.38
8/1/2018,600.27
8/2/2018,589.35
8/3/2018,587.77
8/6/2018,565.88
8/7/2018,552.88
8/8/2018,495.06
8/9/2018,502.65
8/10/2018,491.24
8/13/2018,434.19
8/14/2018,407.13
8/15/2018,436.83
8/16/2018,445.37
8/17/2018,466.07
8/20/2018,454.42
8/21/2018,444.11
8/22/2018,434.43
8/23/2018,439.37
8/24/2018,452.01
8/27/2018,456.67
8/28/2018,488.4
8/29/2018,480.09
8/30/2018,460.76
8/31/2018,478.88
9/4/2018,495.51
9/5/2018,440.17
9/6/2018,418.14
9/7/2018,409.39
9/10/2018,384.61
9/11/2018,371.51
9/12/2018,371.81
9/13/2018,394.66
9/14/2018,408.8
9/17/2018,379.5
9/18/2018,397.62
9/19/2018,406.42
9/20/2018,421.06
9/21/2018,498.5
9/24/2018,470.94
9/25/2018,431.95
9/26/2018,465.65
9/27/2018,490.16
9/28/2018,477.89
10/1/2018,479.88
10/2/2018,477.47
10/3/2018,460.12
10/4/2018,472.02
10/5/2018,465.23
10/8/2018,469.56
10/9/2018,461.2
10/10/2018,456.77
10/11/2018,411.04
10/12/2018,414.65
10/15/2018,425.86
10/16/2018,436.22
10/17/2018,435.29
10/18/2018,428.14
10/19/2018,430.06
10/22/2018,430.37
10/23/2018,430.12
10/24/2018,432.59
10/25/2018,428.78
10/26/2018,427.88
10/29/2018,411.71
10/30/2018,413.02
10/31/2018,419.67
11/1/2018,420.45
11/2/2018,428.45
11/5/2018,448.18
11/6/2018,469.83
11/7/2018,472.13
11/8/2018,459.71
11/9/2018,448.64
11/12/2018,450.57
11/13/2018,442.91
11/14/2018,377.04
11/15/2018,380.95
11/16/2018,382.27
11/19/2018,348.46
11/20/2018,307.77
11/21/2018,312.02
11/23/2018,287.85
11/26/2018,251.35
11/27/2018,251.94
11/28/2018,290.69
11/29/2018,275.08
11/30/2018,265.09
12/3/2018,252.41
12/4/2018,252.66
12/6/2018,229.31
12/7/2018,211.26
12/10/2018,212.62
12/11/2018,210.07
12/12/2018,215.6
12/13/2018,204.6
12/14/2018,197.59
12/17/2018,227.3
12/18/2018,227.97
12/19/2018,246.47
12/20/2018,262.02
12/21/2018,254.02
12/24/2018,288.95
12/26/2018,267.27
12/27/2018,248.17
12/28/2018,276.77
12/31/2018,260.59
1/2/2019,284.91
1/3/2019,275.76
1/4/2019,279.18
1/7/2019,287.25
1/8/2019,284.89
1/9/2019,285.75
1/10/2019,252.06
1/11/2019,251.99
1/14/2019,253.94
1/15/2019,243.41
1/16/2019,246.62
1/17/2019,249.18
1/18/2019,244.42
1/22/2019,243.83
1/23/2019,240.06
1/24/2019,242.35
1/25/2019,240.17
1/28/2019,223.42
1/29/2019,223.01
1/30/2019,232.36
1/31/2019,229.88
2/1/2019,229.79
2/4/2019,228.85
2/5/2019,227.97
2/6/2019,222.37
2/7/2019,222.88
2/8/2019,246.03
2/11/2019,244.94
2/12/2019,248.36
2/13/2019,244.1
2/14/2019,243.53
2/15/2019,243.42
2/19/2019,280.4
2/20/2019,281.55
2/21/2019,274.83
2/22/2019,279.22
2/25/2019,269.72
2/26/2019,265.28
2/27/2019,257.49
2/28/2019,265.6
3/1/2019,269.16
3/4/2019,254.39
3/5/2019,268.96
3/6/2019,270.44
3/7/2019,272.53
3/8/2019,272.12
3/11/2019,265.72
3/12/2019,267.83
3/13/2019,267.4
3/14/2019,266.91
3/15/2019,273.32
3/18/2019,275.1
