date,tbill
1/1/2021,0.0009
1/2/2021,0.0009
1/3/2021,0.0009
1/4/2021,0.0009
1/5/2021,0.0009
1/6/2021,0.0009
1/7/2021,0.0009
1/8/2021,0.0008
1/9/2021,0.0008
1/10/2021,0.0008
1/11/2021,0.0008
1/12/2021,0.0009
1/13/2021,0.0009
1/14/2021,0.0009
1/15/2021,0.0009
1/16/2021,0.0009
1/17/2021,0.0009
1/18/2021,0.0009
1/19/2021,0.0009
1/20/2021,0.0008
1/21/2021,0.0009
1/22/2021,0.0008
1/23/2021,0.0008
1/24/2021,0.0008
1/25/2021,0.0009
1/26/2021,0.0007
1/27/2021,0.0008
1/28/2021,0.0007
1/29/2021,0.0006
1/30/2021,0.0006
1/31/2021,0.0006
2/1/2021,0.0007
2/2/2021,0.0007
2/3/2021,0.0004
2/4/2021,0.0004
2/5/2021,0.0003
2/6/2021,0.0003
2/7/2021,0.0003
2/8/2021,0.0005
2/9/2021,0.0004
2/10/2021,0.0005
2/11/2021,0.0005
2/12/2021,0.0004
2/13/2021,0.0004
2/14/2021,0.0004
2/15/2021,0.0004
2/16/2021,0.0004
2/17/2021,0.0004
2/18/2021,0.0003
2/19/2021,0.0004
2/20/2021,0.0004
2/21/2021,0.0004
2/22/2021,0.0003
2/23/2021,0.0004
2/24/2021,0.0003
2/25/2021,0.0004
2/26/2021,0.0004
2/27/2021,0.0004
2/28/2021,0.0004
3/1/2021,0.0005
3/2/2021,0.0004
3/3/2021,0.0005
3/4/2021,0.0004
3/5/2021,0.0004
3/6/2021,0.0004
3/7/2021,0.0004
3/8/2021,0.0005
3/9/2021,0.0005
3/10/2021,0.0004
3/11/2021,0.0004
3/12/2021,0.0004
3/13/2021,0.0004
3/14/2021,0.0004
3/15/2021,0.0004
3/16/2021,0.0002
3/17/2021,0.0002
3/18/2021,0.0001
3/19/2021,0.0001
3/20/2021,0.0001
3/21/2021,0.0001
3/22/2021,0.0003
3/23/2021,0.0001
3/24/2021,0.0002
3/25/2021,0.0002
3/26/2021,0.0002
3/27/2021,0.0002
3/28/2021,0.0002
3/29/2021,0.0003
3/30/2021,0.0002
3/31/2021,0.0003
4/1/2021,0.0002
4/2/2021,0.0002
4/3/2021,0.0002
4/4/2021,0.0002
4/5/2021,0.0003
4/6/2021,0.0002
4/7/2021,0.0002
4/8/2021,0.0001
4/9/2021,0.0002
4/10/2021,0.0002
4/11/2021,0.0002
4/12/2021,0.0002
4/13/2021,0.0003
4/14/2021,0.0002
4/15/2021,0.0002
4/16/2021,0.0002
4/17/2021,0.0002
4/18/2021,0.0002
4/19/2021,0.0002
4/20/2021,0.0003
4/21/2021,0.0003
4/22/2021,0.0003
4/23/2021,0.0003
4/24/2021,0.0003
4/25/2021,0.0003
4/26/2021,0.0003
4/27/2021,0.0001
4/28/2021,0.0001
4/29/2021,0.0001
4/30/2021,0.0001
5/1/2021,0.0001
5/2/2021,0.0001
5/3/2021,0.0004
5/4/2021,0.0002
5/5/2021,0.0002
5/6/2021,0.0002
5/7/2021,0.0002
5/8/2021,0.0002
5/9/2021,0.0002
5/10/2021,0.0002
5/11/2021,0.0001
5/12/2021,0.0002
5/13/2021,0.0002
5/14/2021,0.0001
5/15/2021,0.0001
5/16/2021,0.0001
5/17/2021,0.0002
5/18/2021,0.0002
5/19/2021,0.0001
5/20/2021,0.0001
5/21/2021,0.0001
5/22/2021,0.0001
5/23/2021,0.0001
5/24/2021,0.0002
5/25/2021,0.0002
5/26/2021,0.0002
5/27/2021,0.0002
5/28/2021,0.0001
5/29/2021,0.0001
5/30/2021,0.0001
5/31/2021,0.0001
6/1/2021,0.0002
6/2/2021,0.0002
6/3/2021,0.0002
6/4/2021,0.0002
6/5/2021,0.0002
6/6/2021,0.0002
6/7/2021,0.0002
