start,end,cluster
2021-07-04,2021-08-17,0
2021-08-18,2022-02-23,1
2022-02-24,2022-02-28,0
2022-03-01,2022-03-10,1
2022-03-11,2022-04-09,0
2022-04-10,2022-05-09,1
2022-05-10,2022-05-24,0
2022-05-25,2022-08-02,1
2022-08-03,2022-08-17,0
2022-08-18,2022-09-06,1
2022-09-07,2022-10-01,0
2022-10-02,2022-12-30,1
2022-12-31,2023-01-24,0
2023-01-25,2023-05-14,1
2023-05-15,2023-05-19,2
2023-05-20,2023-07-03,1
2023-07-04,2023-07-23,0
2023-07-24,2023-08-12,1
2023-08-13,2023-09-16,2
2023-09-17,2024-03-09,1
2024-03-10,2024-04-18,2
2024-04-19,2024-06-12,1
2024-06-13,2024-06-22,2
2024-06-23,2024-06-27,1
2024-06-28,2024-06-28,2
