start_time,end_time,cluster_id,dir_label
2021-01-01,2021-08-28,,
2021-01-16,2021-09-12,,
2021-01-31,2021-09-27,,
2021-02-15,2021-10-12,,
2021-03-02,2021-10-27,,
2021-03-17,2021-11-11,,
2021-04-01,2021-11-26,,
2021-04-16,2021-12-11,,
2021-05-01,2021-12-26,,
2021-05-16,2022-01-10,,
2021-05-31,2022-01-25,,
2021-06-15,2022-02-09,,
2021-06-30,2022-02-24,,
2021-07-15,2022-03-11,,
2021-07-30,2022-03-26,,
2021-08-14,2022-04-10,,
2021-08-29,2022-04-25,,
2021-09-13,2022-05-10,,
2021-09-28,2022-05-25,,
2021-10-13,2022-06-09,,
2021-10-28,2022-06-24,,
2021-11-12,2022-07-09,,
2021-11-27,2022-07-24,,
2021-12-12,2022-08-08,,
2021-12-27,2022-08-23,,
2022-01-11,2022-09-07,,
2022-01-26,2022-09-22,,
2022-02-10,2022-10-07,,
2022-02-25,2022-10-22,,
2022-03-12,2022-11-06,2.0,1.0
2022-03-27,2022-11-21,2.0,1.0
2022-04-11,2022-12-06,1.0,1.0
2022-04-26,2022-12-21,1.0,0.0
2022-05-11,2023-01-05,1.0,0.0
2022-05-26,2023-01-20,0.0,1.0
2022-06-10,2023-02-04,1.0,1.0
2022-06-25,2023-02-19,0.0,1.0
2022-07-10,2023-03-06,1.0,1.0
2022-07-25,2023-03-21,1.0,1.0
2022-08-09,2023-04-05,1.0,1.0
2022-08-24,2023-04-20,1.0,1.0
2022-09-08,2023-05-05,1.0,1.0
2022-09-23,2023-05-20,1.0,1.0
2022-10-08,2023-06-04,1.0,1.0
2022-10-23,2023-06-19,1.0,1.0
2022-11-07,2023-07-04,1.0,1.0
2022-11-22,2023-07-19,0.0,1.0
2022-12-07,2023-08-03,0.0,1.0
2022-12-22,2023-08-18,0.0,2.0
2023-01-06,2023-09-02,0.0,2.0
2023-01-21,2023-09-17,0.0,2.0
2023-02-05,2023-10-02,2.0,1.0
2023-02-20,2023-10-17,2.0,1.0
2023-03-07,2023-11-01,0.0,0.0
2023-03-22,2023-11-16,2.0,1.0
2023-04-06,2023-12-01,0.0,2.0
2023-04-21,2023-12-16,0.0,2.0
2023-05-06,2023-12-31,0.0,2.0
2023-05-21,2024-01-15,0.0,2.0
2023-06-05,2024-01-30,0.0,2.0
2023-06-20,2024-02-14,0.0,2.0
2023-07-05,2024-02-29,2.0,1.0
2023-07-20,2024-03-15,0.0,2.0
2023-08-04,2024-03-30,0.0,2.0
2023-08-19,2024-04-14,0.0,2.0
2023-09-03,2024-04-29,2.0,1.0
2023-09-18,2024-05-14,0.0,2.0
2023-10-03,2024-05-29,2.0,1.0
2023-10-18,2024-06-13,1.0,1.0
2023-11-02,2024-06-28,1.0,2.0
