,Baseline,daily_dir_s10_p12_o0_H30_proto_k5.csv,daily_dir_s10_p16_o0_H30_proto_k5.csv,daily_dir_s10_p20_o0_H30_proto_k5.csv,daily_dir_s10_p8_o0_H30_proto_k5.csv,daily_dir_s15_p12_o0_H30_proto_k5.csv,daily_dir_s15_p16_o0_H30_proto_k5.csv,daily_dir_s15_p20_o0_H30_proto_k5.csv,daily_dir_s15_p8_o0_H30_proto_k5.csv,daily_dir_s5_p12_o0_H30_proto_k5.csv,daily_dir_s5_p16_o0_H30_proto_k5.csv,daily_dir_s5_p20_o0_H30_proto_k5.csv,daily_dir_s5_p8_o0_H30_proto_k5.csv,daily_dir_s8_p12_o0_H30_proto_k5.csv,daily_dir_s8_p16_o0_H30_proto_k5.csv,daily_dir_s8_p20_o0_H30_proto_k5.csv,daily_dir_s8_p8_o0_H30_proto_k5.csv
2021-05-02,-0.010853,,,,0.010853,,,,,-0.010853,-0.010853,-0.010853,-0.010853,,,,0.010853
2021-05-05,0.115909,,,,-0.115909,,,,,0.115909,0.115909,0.115909,0.115909,,,,-0.115909
2021-05-07,-0.043352,,,,0.043352,,,,,-0.043352,,-0.043352,-0.043352,,,,0.043352
2021-05-09,0.013752,,,,-0.013752,,,,,0.013752,,0.013752,0.013752,,0.013752,,-0.013752
2021-05-12,-0.108744,,,,0.108744,,,,,-0.108744,,-0.108744,,,-0.108744,,0.108744
2021-05-14,-0.060153,,,,0.060153,,,,,-0.060153,,-0.060153,,,-0.060153,,0.060153
2021-05-16,-0.015423,-0.004409,,,0.015423,,,,-0.004409,-0.015423,-0.004409,-0.015423,-0.004409,-0.004409,-0.015423,,0.015423
2021-05-19,0.020826,,,,-0.020826,,,,,0.020826,,0.020826,,,,,-0.020826
2021-05-21,-0.005892,,,,0.005892,,,,,,-0.005892,-0.005892,,,,,0.005892
2021-05-23,0.003793,,,,-0.003793,,,,,,0.003793,0.003793,,,,,-0.003793
2021-05-26,-0.073261,,,,0.073261,,,,,,-0.073261,-0.073261,,,,,0.073261
2021-05-28,0.056712,,,,-0.056712,,,,,,0.056712,0.056712,,,,,-0.056712
2021-05-30,0.023435,,,,-0.023435,,,,,,0.023435,0.023435,,,,,-0.023435
2021-06-02,-0.003430,,,,,,,,,,-0.003430,-0.003430,,,,,
2021-06-04,-0.019122,,,,,,,,,,-0.019122,-0.019122,,,,,
2021-06-06,0.008929,,,,,,,,,,0.008929,0.008929,,,,,
2021-06-09,0.029154,,,,,,,,,,0.029154,0.029154,,,,,
2021-06-11,-0.024102,,-0.024102,,,,,,,,-0.024102,-0.024102,,-0.024102,,,
2021-06-13,0.017849,,0.017849,,,,,,,,0.017849,0.017849,,0.017849,,,
2021-06-16,-0.009922,,-0.009922,,,,,,,,-0.009922,-0.009922,,-0.009922,,,
2021-06-18,0.019643,,0.019643,,,,,,,,0.019643,0.019643,,0.019643,,,
2021-06-20,-0.022031,,-0.022031,,,,,,,,-0.022031,-0.022031,,-0.022031,,,
2021-06-23,-0.001346,,-0.001346,,,,,,,,-0.001346,-0.001346,,-0.001346,,,
2021-06-25,-0.013360,,-0.013360,,,,,,,,-0.013360,-0.013360,,-0.013360,,,
2021-06-27,0.000405,,0.000405,,,,,,,,0.000405,0.000405,,0.000405,,0.000405,
2021-06-30,-0.024538,,-0.024538,,,-0.024538,,,,,-0.024538,-0.024538,,-0.024538,,-0.024538,
2021-07-02,-0.024163,,-0.024163,,,-0.024163,,,,,-0.024163,-0.024163,,-0.024163,,-0.024163,
2021-07-04,0.009809,,0.009809,,,0.009809,,,,,0.009809,0.009809,,0.009809,,,
2021-07-07,-0.019333,,-0.019333,,,-0.019333,,,,,-0.019333,-0.019333,,-0.019333,,,
2021-07-09,-0.031424,,-0.031424,,,-0.031424,,,,,-0.031424,-0.031424,,-0.031424,,,
2021-07-11,-0.004052,-0.004052,-0.004052,,,-0.004052,,,,,-0.004052,-0.004052,-0.004052,-0.004052,,,
2021-07-14,0.004642,0.004642,0.004642,,,0.004642,,,,,0.004642,0.004642,0.004642,0.004642,,0.004642,
2021-07-16,-0.017593,-0.017593,-0.017593,,,-0.017593,,,-0.017593,,-0.017593,-0.017593,-0.017593,-0.017593,,-0.017593,
2021-07-18,0.044993,0.044993,0.044993,,,0.044993,,,0.044993,,0.044993,0.044993,0.044993,0.044993,,0.044993,
2021-07-21,0.057996,0.057996,0.057996,0.057996,,0.057996,,,0.057996,,0.057996,0.057996,0.057996,0.057996,0.057996,0.057996,
2021-07-23,0.134874,0.134874,0.134874,0.134874,,0.134874,,,0.134874,,0.134874,0.134874,0.134874,0.134874,0.134874,0.134874,
2021-07-25,0.013261,0.013261,0.013261,0.013261,,0.013261,,,0.013261,,0.013261,0.013261,0.013261,0.013261,0.013261,0.013261,
