Strategy,Obs,Total Return,CAGR,Sharpe,Sortino,Vol (ann),MaxDD,Calmar,WinRate,Beta vs Base,Alpha (ann),InfoRatio,TrackErr (ann),Report,CAGR-ΔvsBase,Sharpe-ΔvsBase,Sortino-ΔvsBase,Vol (ann)-ΔvsBase,MaxDD-ΔvsBase,Calmar-ΔvsBase,WinRate-ΔvsBase,InfoRatio-ΔvsBase
Baseline,1156,0.580320,0.155454,0.563531,0.578221,0.391442,-0.353192,0.440139,0.218858,1.000000,-0.000000,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
wf_current_only_s10_p12_o0_H30_wfstrict_rolling.csv,1156,-0.035605,-0.011382,0.027777,0.023848,0.181866,-0.286570,-0.039717,0.179931,-0.215784,0.052651,-0.428996,0.502424,wf_current_only_s10_p12_o0_H30_wfstrict_rolling.csv_vs_baseline.html,-0.166836,-0.535754,-0.554373,-0.209576,0.066622,-0.479857,-0.038927,
wf_current_only_s10_p16_o0_H30_wfstrict_rolling.csv,1156,-0.265803,-0.092950,-0.372527,-0.270021,0.204914,-0.424382,-0.219025,0.181661,-0.256095,-0.019844,-0.567560,0.523161,wf_current_only_s10_p16_o0_H30_wfstrict_rolling.csv_vs_baseline.html,-0.248404,-0.936058,-0.848242,-0.186528,-0.071190,-0.659164,-0.037197,
wf_current_only_s10_p20_o0_H30_wfstrict_rolling.csv,1156,0.286382,0.082762,0.517861,0.504583,0.186983,-0.180302,0.459017,0.175606,0.273571,0.036484,-0.383109,0.323037,wf_current_only_s10_p20_o0_H30_wfstrict_rolling.csv_vs_baseline.html,-0.072692,-0.045670,-0.073638,-0.204459,0.172890,0.018878,-0.043253,
wf_current_only_s10_p8_o0_H30_wfstrict_rolling.csv,1156,-0.126184,-0.041695,-0.137180,-0.104927,0.184924,-0.284129,-0.146747,0.174740,-0.239366,0.027434,-0.481642,0.510665,wf_current_only_s10_p8_o0_H30_wfstrict_rolling.csv_vs_baseline.html,-0.197149,-0.700711,-0.683148,-0.206518,0.069063,-0.586887,-0.044118,
wf_current_only_s15_p12_o0_H30_wfstrict_rolling.csv,1156,0.554964,0.149568,0.892451,0.922253,0.172731,-0.173274,0.863188,0.154844,0.190234,0.112190,-0.188086,0.353221,wf_current_only_s15_p12_o0_H30_wfstrict_rolling.csv_vs_baseline.html,-0.005886,0.328920,0.344032,-0.218711,0.179919,0.423049,-0.064014,
wf_current_only_s15_p16_o0_H30_wfstrict_rolling.csv,1156,0.574104,0.154017,0.853353,0.882618,0.188422,-0.154876,0.994451,0.156574,0.273996,0.100350,-0.184753,0.323671,wf_current_only_s15_p16_o0_H30_wfstrict_rolling.csv_vs_baseline.html,-0.001437,0.289822,0.304397,-0.203020,0.198316,0.554311,-0.062284,
wf_current_only_s15_p20_o0_H30_wfstrict_rolling.csv,1156,-0.143170,-0.047616,-0.235675,-0.167360,0.155411,-0.190605,-0.249817,0.154844,-0.218561,0.011586,-0.520337,0.494326,wf_current_only_s15_p20_o0_H30_wfstrict_rolling.csv_vs_baseline.html,-0.203070,-0.799206,-0.745581,-0.236031,0.162587,-0.689956,-0.064014,
wf_current_only_s15_p8_o0_H30_wfstrict_rolling.csv,1156,-0.197984,-0.067290,-0.330686,-0.232741,0.167784,-0.248181,-0.271135,0.153979,-0.180982,-0.015561,-0.567278,0.486663,wf_current_only_s15_p8_o0_H30_wfstrict_rolling.csv_vs_baseline.html,-0.222744,-0.894216,-0.810962,-0.223658,0.105011,-0.711274,-0.064879,
wf_current_only_s5_p12_o0_H30_wfstrict_rolling.csv,1156,0.223533,0.065772,0.387300,0.384547,0.235451,-0.378402,0.173814,0.207612,0.462774,-0.010893,-0.500493,0.258544,wf_current_only_s5_p12_o0_H30_wfstrict_rolling.csv_vs_baseline.html,-0.089682,-0.176230,-0.193674,-0.155991,-0.025210,-0.266325,-0.011246,
wf_current_only_s5_p16_o0_H30_wfstrict_rolling.csv,1156,0.861524,0.216773,1.006495,0.996321,0.218460,-0.207176,1.046323,0.216263,0.425399,0.126041,-0.002674,0.265682,wf_current_only_s5_p16_o0_H30_wfstrict_rolling.csv_vs_baseline.html,0.061319,0.442964,0.418100,-0.172982,0.146017,0.606184,-0.002595,
wf_current_only_s5_p20_o0_H30_wfstrict_rolling.csv,1156,1.327800,0.305753,1.443833,1.565549,0.198341,-0.141488,2.160976,0.214533,0.336446,0.212155,0.219931,0.299100,wf_current_only_s5_p20_o0_H30_wfstrict_rolling.csv_vs_baseline.html,0.150299,0.880302,0.987328,-0.193101,0.211704,1.720837,-0.004325,
